GET_CHAR_SWIM_STATE                                    0x34460DD7   boolean GET_CHAR_SWIM_STATE(Ped ped, int *state)
GET_CHAR_WALK_ALONGSIDE_LEADER_WHEN_APPROPRIATE        0x6D170B31   boolean GET_CHAR_WALK_ALONGSIDE_LEADER_WHEN_APPROPRIATE(Ped ped)
GET_CHAR_WILL_TRY_TO_LEAVE_BOAT_AFTER_LEADER           0x6D5F1592   boolean GET_CHAR_WILL_TRY_TO_LEAVE_BOAT_AFTER_LEADER(Ped ped)
GET_CHAR_WILL_TRY_TO_LEAVE_WATER                       0x7BC85E73   boolean GET_CHAR_WILL_TRY_TO_LEAVE_WATER(Ped ped)
GET_CLOSEST_CAR_NODE_FAVOUR_DIRECTION                  0x2F2405D1   boolean GET_CLOSEST_CAR_NODE_FAVOUR_DIRECTION(int, float x, float y, float z, float *pX, float *pY, float *pZ, float *heading)
GET_CLOSEST_STEALABLE_OBJECT                           0x27045521   void GET_CLOSEST_STEALABLE_OBJECT(float x, float y, float z, float radius, Object *obj)
GET_CLOSEST_STRAIGHT_ROAD                              0x1501CBA    -
GET_CONSOLE_COMMAND                                    0x3BC51157   -
GET_CONSOLE_COMMAND_TOKEN                              0x5D607947   -
GET_CONTENTS_OF_TEXT_WIDGET                            0x742E3376   -
GET_CONTROL_VALUE                                      0x6285788    int GET_CONTROL_VALUE(int, int controlid)
GET_CURRENT_POPULATION_ZONE_TYPE                       0x30516A11   int GET_CURRENT_POPULATION_ZONE_TYPE(void)
GET_CURRENT_STACK_SIZE                                 0x6AC52840   int GET_CURRENT_STACK_SIZE(void)
GET_CURRENT_WEATHER_FULL                               0x3FFA65EE   void GET_CURRENT_WEATHER_FULL(int *weatherparam0, int *weatherparam1, int *weatherparam2)
GET_CURRENT_ZONE_SCUMMINESS                            0x4B7B5F77   int GET_CURRENT_ZONE_SCUMMINESS(void)
GET_DOOR_STATE                                         0x64861559   void GET_DOOR_STATE(Object obj, uint *, float *)
GET_FILTER_MENU_ON                                     0x509D75E8   -
